Series Name,"Series Code","Country Name","Country Code","2004 [YR2004]"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Afghanistan","AFG","20"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Albania","ALB","100"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Algeria","DZA","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Angola","AGO","30"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Antigua and Barbuda","ATG","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Argentina","ARG","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Armenia","ARM","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Azerbaijan","AZE","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Bangladesh","BGD","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Belarus","BLR","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Belize","BLZ","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Benin","BEN","50"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Bhutan","BTN","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Bolivia","BOL","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Bosnia and Herzegovina","BIH","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Botswana","BWA","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Brazil","BRA","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Bulgaria","BGR","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Burkina Faso","BFA","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Burundi","BDI","20"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Cabo Verde","CPV","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Cambodia","KHM","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Cameroon","CMR","30"
