"","Code","GDP.grow","light.grow"
"AGO","AGO",6.87075824388836,3.89304693517577
"ALB","ALB",6.23953387966951,11.2918576081665
"AND","AND",5.1814341644186,1.57928805212064
"ARE","ARE",5.51065634551319,3.12017730705694
"ARG","ARG",2.44842752755201,3.14861135245403
"ARM","ARM",7.39960584234093,4.67029530333322
"ATG","ATG",3.90700256547917,2.44440278457332
"AUS","AUS",3.67736979946316,0.71203137471699
"AUT","AUT",2.34315666877823,2.75576461810349
"AZE","AZE",4.98629937814457,-0.50766029033675
"BDI","BDI",-0.706048848638146,0.0183828685702445
"BEL","BEL",2.27167322537351,-0.553241342114538
"BEN","BEN",4.33562675082925,2.35877427002484
"BFA","BFA",5.77472771195719,5.8412429844981
"BGD","BGD",4.8258547277357,-0.0782005850552581
"BGR","BGR",2.80793408847037,0.238322371246861
"BHR","BHR",4.53407793123915,0.302611589821881
"BHS","BHS",2.98063676472505,1.63957250846097
"BLR","BLR",3.39989562178652,-0.933410884088723
"BLZ","BLZ",4.70800742394935,6.91456043797651
"BOL","BOL",3.51552468425214,0.910391649723637
"BRA","BRA",2.95048552837758,2.55992495477153
"BRB","BRB",2.2916923926961,1.15460064855918
"BRN","BRN",2.05194521329878,3.12596132526698
"BTN","BTN",6.52798462668909,8.2348764773292
"BWA","BWA",4.49941288735397,6.17333146604922
"CAF","CAF",2.31153926834656,-3.23679633824315
"CAN","CAN",3.23268884444145,-2.46641126520145
"CHE","CHE",1.71575381423836,2.28105250087925
"CHL","CHL",5.02577695168639,4.42498846588607
"CHN","CHN",9.47849676484189,5.14979395837618
"CIV","CIV",1.83071779159713,7.36646617767999
"CMR","CMR",3.53289754786982,0.896161243495514
"COD","COD",-0.725848651974395,0.902778652181781
"COG","COG",2.51343827513895,8.04919354154783
"COL","COL",2.99854937985273,1.21919945288788
"COM","COM",2.18665823382057,2.81435484537881
"CPV","CPV",9.51708076672001,7.80413636930739
"CRI","CRI",4.24142638817203,3.603669379505
"CUB","CUB",3.64032457471912,4.32261683465549
"CYP","CYP",4.08718210721479,1.73894270151989
"CZE","CZE",3.09843594742813,1.26229131956529
"DEU","DEU",1.37169846362118,0.629155180438254
"DMA","DMA",1.9139553967692,3.45862351113982
"DNK","DNK",2.42949943432397,-0.148144762224812
"DOM","DOM",4.94115262498368,3.59657733386644
